Year,Entity,Pred_Prevalence_Schizophrenia,Pred_Prevalence_Depression,Pred_Prevalence_Anxiety,Pred_Prevalence_Bipolar,Pred_Prevalence_Eating
2025-01-01,Argentina,0.3104743506603075,2.3735460729464277,4.99392816293374,1.0406324622717749,0.3283320875323352
2026-01-01,Argentina,0.31045699823504996,2.371083470176861,4.994647806066291,1.0407919223268258,0.3279314176401146
2027-01-01,Argentina,0.31044698086084377,2.3691037083590434,4.995212747724252,1.0409320603979588,0.3275792458633977
2028-01-01,Argentina,0.3104411979351433,2.3675121171760374,4.995656244038555,1.0410552177552956,0.32726970186539844
2029-01-01,Argentina,0.31043785951242203,2.3662325882594653,4.996004402079352,1.0411634519741881,0.3269976258700117
2030-01-01,Argentina,0.3104359322757873,2.3652039357601145,4.996277716687529,1.0412585713108855,0.3267584826537188
2031-01-01,Argentina,0.3104348197021691,2.3643769704991375,4.996492276933997,1.0413421649128567,0.32654828594813445
2032-01-01,Argentina,0.3104341774250176,2.363712147788558,4.996660713226777,1.0414156293684882,0.32636353199306334
2033-01-01,Argentina,0.31043380664511366,2.363177676442107,4.996792940818759,1.041480192039721,0.32620114113246673
2034-01-01,Argentina,0.3104335925977404,2.362747998551098,4.996896743483808,1.0415369315674408,0.3260584064798031
2035-01-01,Argentina,0.3104334690304232,2.362402567329671,4.9969782317201865,1.0415867958922027,0.3259329487970483
2036-01-01,Argentina,0.31043339769629913,2.362124864587144,4.997042202454127,1.0416306180913626,0.3258226768352754
2037-01-01,Argentina,0.31043335651585297,2.3619016108439292,4.997092421418024,1.0416691302972008,0.32572575247571245
2038-01-01,Argentina,0.3104333327428107,2.3617221303195164,4.997131844825881,1.041702975928569,0.32564056009021713
2039-01-01,Argentina,0.3104333190188812,2.3615778404268606,4.997162793395233,1.0417327204404137,0.3255656796104378
2040-01-01,Argentina,0.3104333110961998,2.3614618413612756,4.997187088959647,1.041758860770764,0.32549986285675275
2020-01-01,Armenia,0.2830218870083615,3.0003719640571176,3.1523884552807493,0.5414036190126036,0.12668551096814124
2021-01-01,Armenia,0.28337480311400365,3.0139503152053866,3.153845396557124,0.5413427063861277,0.12731445168252012
2022-01-01,Armenia,0.2836848852841317,3.0249770858711376,3.1550306837802857,0.5412822585467955,0.12789344152686946
2023-01-01,Armenia,0.2839573323351281,3.0339317571701314,3.1559949682193174,0.5412222719480992,0.12842644763093564
2024-01-01,Armenia,0.2841967120955509,3.0412037083608894,3.1567794569585765,0.5411627430705929,0.12891712205250697
2025-01-01,Armenia,0.2844070379900339,3.0471091483658963,3.157417673813598,0.5411036684216848,0.12936882680062833
2026-01-01,Armenia,0.28459183632808865,3.0519048656002283,3.157936891915336,0.5410450445354332,0.12978465687145613
2027-01-01,Armenia,0.28475420542596763,3.0557993939964474,3.15835929918185,0.540986867972343,0.13016746145459102
2028-01-01,Armenia,0.28489686755282195,3.0589620807621256,3.1587029464819083,0.5409291353191635,0.13051986345519034
2029-01-01,Armenia,0.2850222145720791,3.061530450166623,3.1589825190087066,0.5408718431886888,0.130844277465622
2030-01-01,Armenia,0.28513234804326093,3.063616183559365,3.159209963827063,0.5408149882195583,0.13114292630979812
2031-01-01,Armenia,0.28522911445658644,3.0653099756509476,3.1593950004112714,0.5407585670760603,0.13141785627354743
2032-01-01,Armenia,0.2853141361911001,3.0666854782245223,3.159545535990595,0.5407025764479356,0.1316709511253816
2033-01-01,Armenia,0.28538883871536735,3.0678025027633145,3.159668003451499,0.5406470130501837,0.13190394502372352
2034-01-01,Armenia,0.285454474486783,3.0687096212553007,3.159767636236304,0.5405918736228699,0.1321184343990354
2035-01-01,Armenia,0.28551214395018587,3.069446278266787,3.1598486919856006,0.540537154930934,0.13231588889226065
2036-01-01,Armenia,0.2855628139878412,3.070044506124962,3.1599146344814053,0.5404828537640007,0.13249766142452782
2037-01-01,Armenia,0.2856073341301228,3.0705303177913366,3.159968281666098,0.5404289669361911,0.1326649974671122
2038-01-01,Armenia,0.2856464507986805,3.0709248379928957,3.1600119260624826,0.5403754912859359,0.13281904357517127
2039-01-01,Armenia,0.2856808198208947,3.0712452217963557,3.1600474327409165,0.5403224236757894,0.13296085524372547
2040-01-01,Armenia,0.2857110174254329,3.071505400568226,3.160076319019977,0.5402697609922463,0.133091404139712
2020-01-01,Asia (IHME GBD),0.2934610556159979,3.193137317899351,3.233452077331323,0.33684376383047315,0.1398858346992
2021-01-01,Asia (IHME GBD),0.2932668684987015,3.1905362875349663,3.2154009949927844,0.3368437632184761,0.14102260895844945
2022-01-01,Asia (IHME GBD),0.29335464350703394,3.188297053087115,3.2025050211591117,0.3368437632184772,0.1421366179942606
2023-01-01,Asia (IHME GBD),0.2933149681042831,3.1863692897741207,3.1932919369794606,0.3368437632184772,0.14322831770664524
2024-01-01,Asia (IHME GBD),0.29333290188308125,3.184709672848125,3.186709966420579,0.3368437632184772,0.14429815486568845
